plant_id,meter_id,meter_reading,created_at,data_availability,guid,date
900003,910000,208327546.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000000,2025-10-23 02:00:10.000000 UTC
900003,910001,100236007.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000001,2025-10-23 02:00:10.000000 UTC
900003,910004,105703414.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000002,2025-10-23 02:00:10.000000 UTC
900002,910002,590245437.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000003,2025-10-23 02:00:10.000000 UTC
900005,910007,237773921.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000004,2025-10-23 02:00:10.000000 UTC
900005,910006,233350203.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000005,2025-10-23 02:00:10.000000 UTC
900001,910008,508562500.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000006,2025-10-23 02:00:10.000000 UTC
900004,910005,324948273.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000007,2025-10-23 02:00:10.000000 UTC
900004,910003,313943716.0,2025-10-23 02:00:10.000000 UTC,1,plant-guid-00000008,2025-10-23 02:00:10.000000 UTC
900003,910004,105693445.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000009,2025-10-22 14:00:10.000000 UTC
900003,910000,208308140.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000010,2025-10-22 14:00:10.000000 UTC
900003,910001,100227203.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000011,2025-10-22 14:00:10.000000 UTC
900002,910002,590187062.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000012,2025-10-22 14:00:10.000000 UTC
900005,910007,237752609.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000013,2025-10-22 14:00:10.000000 UTC
900005,910006,233328375.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000014,2025-10-22 14:00:10.000000 UTC
900001,910008,508536062.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000015,2025-10-22 14:00:10.000000 UTC
900004,910003,313905523.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000016,2025-10-22 14:00:10.000000 UTC
900004,910005,324902780.0,2025-10-22 14:00:10.000000 UTC,1,plant-guid-00000017,2025-10-22 14:00:10.000000 UTC
900003,910001,100270804.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000018,2025-10-23 04:00:10.000000 UTC
900003,910000,208412062.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000019,2025-10-23 04:00:10.000000 UTC
900003,910004,105746789.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000020,2025-10-23 04:00:10.000000 UTC
900002,910002,590477437.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000021,2025-10-23 04:00:10.000000 UTC
900005,910006,233445687.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000022,2025-10-23 04:00:10.000000 UTC
900005,910007,237867875.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000023,2025-10-23 04:00:10.000000 UTC
900001,910008,508730062.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000024,2025-10-23 04:00:10.000000 UTC
900004,910003,314132999.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000025,2025-10-23 04:00:10.000000 UTC
900004,910005,325136546.0,2025-10-23 04:00:10.000000 UTC,1,plant-guid-00000026,2025-10-23 04:00:10.000000 UTC
900003,910001,100249406.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000027,2025-10-23 03:00:10.000000 UTC
900003,910004,105719953.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000028,2025-10-23 03:00:10.000000 UTC
900003,910000,208360578.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000029,2025-10-23 03:00:10.000000 UTC
900002,910002,590352812.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000030,2025-10-23 03:00:10.000000 UTC
900005,910006,233392046.0,2025-10-23 03:00:10.000000 UTC,1,plant-guid-00000031,2025-10-23 03:00:10.000000 UTC
