Model,Test MAE (kWh),Test RMSE (kWh),Test R²,Test WAPE (%),Training Time (s)
Random Forest,20.52980878335904,27.602418417574654,0.5832450520579178,40.73712992251855,0.2973959445953369
XGBoost,21.122803192243857,28.355196721230072,0.5602034439790664,41.91380382791063,0.32890892028808594
Gradient Boosting,20.87536080439967,28.607280783473026,0.5523489040170073,41.422805942430195,1.8749628067016602
Ridge Regression,24.913473999383857,32.50035135566832,0.42221986370753806,49.43560058663788,0.001026153564453125
