Model,Test MAE (kWh),Test RMSE (kWh),Test R²,Test WAPE (%),Training Time (s)
Ridge Regression,21.101563343608966,27.982308384557793,0.63164051541381,35.52820668717366,0.046356916427612305
Random Forest,20.838196188703762,28.61078844418023,0.614908057466973,35.08478159294153,0.929818868637085
XGBoost,21.664327413600628,29.676996964232547,0.5856716178715174,36.47571933679137,0.38617706298828125
Gradient Boosting,22.007197755300965,29.916019611906826,0.5789706242858563,37.05300207970818,5.810149908065796
