Model,Test MAE (kWh),Test RMSE (kWh),Test R²,Test WAPE (%),Training Time (s)
Ridge Regression,47.597808471043344,62.571059827094736,0.4398764081517966,46.793879267471745,0.0012879371643066406
Random Forest,46.193709458453306,62.96048800879846,0.43288254542990234,45.413495552648286,0.9804198741912842
XGBoost,47.78708653374368,65.51526168495212,0.3859244541043436,46.97996041487098,0.37426090240478516
Gradient Boosting,48.2982817621296,66.50392697459166,0.3672510631716558,47.48252153202306,5.9245030879974365
