Model,Test MAE (kWh),Test RMSE (kWh),Test R²,Test WAPE (%),Training Time (s)
Ridge Regression,16.933858553753097,22.555888048100595,0.5203618804592105,47.5589291081672,0.001455068588256836
Random Forest,17.66298530069596,24.14484602677685,0.45040507811329056,49.60668964417561,0.797421932220459
XGBoost,18.062259144085367,24.985181483506953,0.41148322345930344,50.72805465098876,0.3753221035003662
Gradient Boosting,18.680359045143568,25.437519281026546,0.3899810275831834,52.46399506190457,5.314935922622681
